[2025-12-09T11:08:53.370916] method=POST path=/auth/login status=200 ip=127.0.0.1 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 session=29f793f805d9464eb916b8385e858528 extra=login
[2025-12-09T11:09:03.032497] method=POST path=/auth/login status=200 ip=127.0.0.1 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 session=2a699343db7a41cea002515f6949bbf1 extra=login
[2025-12-09T11:09:22.209062] method=POST path=/auth/logout status=200 ip=127.0.0.1 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 session=2a699343db7a41cea002515f6949bbf1 extra=logout
[2025-12-09T11:11:12.142037] method=POST path=/auth/login status=200 ip=127.0.0.1 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 session=ae00b731927944bd8b9346633c25e8ee extra=login
[2025-12-09T11:12:18.120233] method=POST path=/auth/logout status=200 ip=127.0.0.1 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 session=ae00b731927944bd8b9346633c25e8ee extra=logout
[2025-12-09T11:26:37.095005] method=GET path=/ status=200 ip=127.0.0.1 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 session=- extra=-
[2025-12-09T11:26:40.911274] method=GET path=/docs status=200 ip=127.0.0.1 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 session=- extra=-
[2025-12-09T11:26:41.165752] method=GET path=/openapi.json status=200 ip=127.0.0.1 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 session=- extra=-
[2025-12-09T11:26:48.358870] method=POST path=/auth/login status=200 ip=127.0.0.1 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 session=478b1058e98b48a1b001cc98e5f6312e extra=user=sunil user_id=2
[2025-12-09T11:26:48.366707] method=POST path=/auth/login status=200 ip=127.0.0.1 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 session=- extra=-
[2025-12-09T11:27:21.275341] method=POST path=/auth/login status=200 ip=127.0.0.1 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 session=9e295c3e32c84d50b391d5d6e233a07d extra=user=sunil user_id=2
[2025-12-09T11:27:21.293194] method=POST path=/auth/login status=200 ip=127.0.0.1 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 session=478b1058e98b48a1b001cc98e5f6312e extra=user=sunil user_id=2
[2025-12-09T11:27:30.157970] method=GET path=/items/ status=200 ip=127.0.0.1 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 session=9e295c3e32c84d50b391d5d6e233a07d extra=user=sunil user_id=2
[2025-12-09T11:27:35.731556] method=POST path=/auth/logout status=200 ip=127.0.0.1 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 session=9e295c3e32c84d50b391d5d6e233a07d extra=logout
[2025-12-09T11:27:35.735323] method=POST path=/auth/logout status=200 ip=127.0.0.1 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 session=9e295c3e32c84d50b391d5d6e233a07d extra=-
[2025-12-09T11:27:38.303012] method=POST path=/auth/logout status=200 ip=127.0.0.1 ua=Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 session=- extra=-
